| Company | Model | Instructions | Config | Success | Error |
| Ollama | qwen2.5 (with filter) | Basic | Filter is enabled | ✓ |  |
| Ollama | qwen2.5 | Detailed | Filter is enabled | ✓ |  |
| Ollama | qwen2.5 (with filter) | Detailed | Filter is enabled | ✓ |  |
| Ollama | granite3.2 | Basic | Filter is not enabled | ✗ |  |
| Ollama | granite3.2 (with filter) | Basic | Filter is not enabled | ✓ |  |
| Ollama | granite3.2 | Detailed | Filter is not enabled | ✗ |  |
| Ollama | granite3.2 (with filter) | Detailed | Filter is not enabled | ✓ |  |
| Ollama | granite3.2 | Basic | Filter is enabled | ✗ |  |
| Ollama | granite3.2 (with filter) | Basic | Filter is enabled | ✓ |  |
| Ollama | granite3.2 | Detailed | Filter is enabled | ✗ |  |
| Ollama | granite3.2 (with filter) | Detailed | Filter is enabled | ✗ |  |
| OpenAI | gpt-4 | Basic | Filter is not enabled | ✓ |  |
| OpenAI | gpt-4 (with filter) | Basic | Filter is not enabled | ✓ |  |
| OpenAI | gpt-4 | Detailed | Filter is not enabled | ✓ |  |
| OpenAI | gpt-4 (with filter) | Detailed | Filter is not enabled | ✓ |  |
| OpenAI | gpt-4 | Basic | Filter is enabled | ✓ |  |
| OpenAI | gpt-4 (with filter) | Basic | Filter is enabled | ✓ |  |
| OpenAI | gpt-4 | Detailed | Filter is enabled | ✓ |  |
| OpenAI | gpt-4 (with filter) | Detailed | Filter is enabled | ✓ |  |
| OpenAI | gpt-4o-mini | Basic | Filter is not enabled | ✓ |  |
| OpenAI | gpt-4o-mini (with filter) | Basic | Filter is not enabled | ✓ |  |
| OpenAI | gpt-4o-mini | Detailed | Filter is not enabled | ✓ |  |
| OpenAI | gpt-4o-mini (with filter) | Detailed | Filter is not enabled | ✓ |  |
| OpenAI | gpt-4o-mini | Basic | Filter is enabled | ✓ |  |
| OpenAI | gpt-4o-mini (with filter) | Basic | Filter is enabled | ✓ |  |
| OpenAI | gpt-4o-mini | Detailed | Filter is enabled | ✓ |  |
| OpenAI | gpt-4o-mini (with filter) | Detailed | Filter is enabled | ✓ |  |
| OpenAI | gpt-4o | Basic | Filter is not enabled | ✓ |  |
| OpenAI | gpt-4o (with filter) | Basic | Filter is not enabled | ✓ |  |
| OpenAI | gpt-4o | Detailed | Filter is not enabled | ✓ |  |
| OpenAI | gpt-4o (with filter) | Detailed | Filter is not enabled | ✓ |  |
| OpenAI | gpt-4o | Basic | Filter is enabled | ✓ |  |
| OpenAI | gpt-4o (with filter) | Basic | Filter is enabled | ✓ |  |
| OpenAI | gpt-4o | Detailed | Filter is enabled | ✓ |  |
| OpenAI | gpt-4o (with filter) | Detailed | Filter is enabled | ✓ |  |
| OpenAI | gpt-4-turbo-preview | Basic | Filter is not enabled | ✓ |  |
| OpenAI | gpt-4-turbo-preview (with filter) | Basic | Filter is not enabled | ✓ |  |
| OpenAI | gpt-4-turbo-preview | Detailed | Filter is not enabled | ✓ |  |
| OpenAI | gpt-4-turbo-preview (with filter) | Detailed | Filter is not enabled | ✓ |  |
| OpenAI | gpt-4-turbo-preview | Basic | Filter is enabled | ✓ |  |
| OpenAI | gpt-4-turbo-preview (with filter) | Basic | Filter is enabled | ✓ |  |
| OpenAI | gpt-4-turbo-preview | Detailed | Filter is enabled | ✓ |  |
| OpenAI | gpt-4-turbo-preview (with filter) | Detailed | Filter is enabled | ✓ |  |
| OpenAI | gpt-3.5-turbo | Basic | Filter is not enabled | ✓ |  |
| OpenAI | gpt-3.5-turbo (with filter) | Basic | Filter is not enabled | ✓ |  |
| OpenAI | gpt-3.5-turbo | Detailed | Filter is not enabled | ✓ |  |
| OpenAI | gpt-3.5-turbo (with filter) | Detailed | Filter is not enabled | ✓ |  |
| OpenAI | gpt-3.5-turbo | Basic | Filter is enabled | ✓ |  |
| OpenAI | gpt-3.5-turbo (with filter) | Basic | Filter is enabled | ✓ |  |
| OpenAI | gpt-3.5-turbo | Detailed | Filter is enabled | ✓ |  |
| OpenAI | gpt-3.5-turbo (with filter) | Detailed | Filter is enabled | ✓ |  |
| Perplexity | sonar-pro | Basic | Filter is not enabled | ✗ |  |
| Perplexity | sonar-pro (with filter) | Basic | Filter is not enabled | ✗ |  |
| Perplexity | sonar-pro | Detailed | Filter is not enabled | ✗ |  |
| Perplexity | sonar-pro (with filter) | Detailed | Filter is not enabled | ✗ |  |
| Perplexity | sonar-pro | Basic | Filter is enabled | ✗ |  |
| Perplexity | sonar-pro (with filter) | Basic | Filter is enabled | ✗ |  |
| Perplexity | sonar-pro | Detailed | Filter is enabled | ✗ |  |
| Perplexity | sonar-pro (with filter) | Detailed | Filter is enabled | ✗ |  |
| Perplexity | sonar-reasoning | Basic | Filter is not enabled | ✗ |  |
| Perplexity | sonar-reasoning (with filter) | Basic | Filter is not enabled | ✗ |  |
| Perplexity | sonar-reasoning | Detailed | Filter is not enabled | ✗ |  |
| Perplexity | sonar-reasoning (with filter) | Detailed | Filter is not enabled | ✗ |  |
| Perplexity | sonar-reasoning | Basic | Filter is enabled | ✗ |  |
| Perplexity | sonar-reasoning (with filter) | Basic | Filter is enabled | ✗ |  |
| Perplexity | sonar-reasoning | Detailed | Filter is enabled | ✗ |  |
| Perplexity | sonar-reasoning (with filter) | Detailed | Filter is enabled | ✗ |  |
| Perplexity | sonar-reasoning-pro | Basic | Filter is not enabled | ✗ |  |
| Perplexity | sonar-reasoning-pro (with filter) | Basic | Filter is not enabled | ✗ |  |
| Perplexity | sonar-reasoning-pro | Detailed | Filter is not enabled | ✗ |  |
| Perplexity | sonar-reasoning-pro (with filter) | Detailed | Filter is not enabled | ✗ |  |
| Perplexity | sonar-reasoning-pro | Basic | Filter is enabled | ✗ |  |
| Perplexity | sonar-reasoning-pro (with filter) | Basic | Filter is enabled | ✗ |  |
| Perplexity | sonar-reasoning-pro | Detailed | Filter is enabled | ✗ |  |
| Perplexity | sonar-reasoning-pro (with filter) | Detailed | Filter is enabled | ✗ |  |
| Perplexity | sonar | Basic | Filter is not enabled | ✗ |  |
| Perplexity | sonar (with filter) | Basic | Filter is not enabled | ✗ |  |
| Perplexity | sonar | Detailed | Filter is not enabled | ✗ |  |
| Perplexity | sonar (with filter) | Detailed | Filter is not enabled | ✗ |  |
| Perplexity | sonar | Basic | Filter is enabled | ✗ |  |
| Perplexity | sonar (with filter) | Basic | Filter is enabled | ✗ |  |
| Perplexity | sonar | Detailed | Filter is enabled | ✗ |  |
| Perplexity | sonar (with filter) | Detailed | Filter is enabled | ✗ |  |
